Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2017-02-27,878.0,875.0,856.0,806.0,710.0,714.0,925.0,947.0,809.0,428.0,813.0,756.5,913.5333333333332,57.02630971759834,61.61894787194596,151.69734215151308,3.0,72.0,168.0,164.0,0.0034285714285713,0.0893300248138957,0.236619718309859,0.2296918767507003,65.0,121.5,-35.53333333333319,0.1606080634500991,-0.0388965919871559,0.0814526739880316,0.1660556179137923,20.0,12.0,8.0,1.0785876993166288,0.9214123006833712,0.4874715261958998,138.0,381.0,519.0,2,1,0,0.8660254037844386,0.5000000000000001,1045.0
2017-02-28,859.0,878.0,875.0,856.0,741.0,702.0,922.0,966.0,817.0,436.0,829.8571428571429,759.45,908.1166666666668,49.08302004920027,65.12374859897461,147.6237879488793,-19.0,3.0,118.0,157.0,-0.0216400911161731,0.0035046728971963,0.1592442645074223,0.2236467236467236,29.14285714285711,99.54999999999995,-49.11666666666679,0.1310817038646388,-0.0540862958136804,0.0857511996826316,0.1625603772814204,19.0,8.0,8.0,1.1245634458672875,0.9511059371362048,0.5075669383003493,149.0,381.0,530.0,2,1,1,0.8660254037844386,0.5000000000000001,1064.0
2017-03-01,871.0,859.0,878.0,875.0,757.0,707.0,952.0,995.0,825.0,444.0,846.1428571428571,763.7,902.6,38.692930325191,69.56942764721737,142.55289829945065,12.0,-4.0,114.0,164.0,0.0139697322467986,-0.0045714285714285,0.1505944517833553,0.2319660537482319,24.85714285714289,107.29999999999995,-31.600000000000023,0.1405001964122036,-0.0350099711943275,0.0910952306497543,0.1579358500991033,29.0,8.0,8.0,1.142365097588978,0.947187141216992,0.5097588978185993,170.0,381.0,551.0,3,1,2,1.0,6.123233995736766e-17,1086.0
2017-03-02,904.0,871.0,859.0,878.0,778.0,702.0,942.0,1041.0,833.0,451.0,864.1428571428571,770.4,897.6,30.05233530276745,76.33196198877752,136.953437590339,33.0,26.0,126.0,202.0,0.0378874856486797,0.0296127562642369,0.1619537275064266,0.2877492877492877,39.85714285714289,133.60000000000002,6.399999999999977,0.1734164070612669,0.0071301247771835,0.0990809475451421,0.1525773591692725,46.0,8.0,7.0,1.1515486725663715,0.9214601769911503,0.4988938053097345,208.0,382.0,590.0,3,1,3,1.0,6.123233995736766e-17,1099.0
2017-03-03,939.0,904.0,871.0,859.0,806.0,688.0,925.0,1084.0,840.0,457.0,883.1428571428571,779.75,893.3166666666667,29.19719490778465,84.92837539581222,131.36757741351008,35.0,80.0,133.0,251.0,0.0387168141592919,0.0931315483119907,0.1650124069478908,0.3648255813953489,55.85714285714289,159.25,45.68333333333328,0.2042321256813081,0.0511390137875706,0.1089174419952705,0.1470560018808299,43.0,7.0,6.0,1.154419595314164,0.8945686900958466,0.4866879659211927,244.0,383.0,627.0,3,1,4,1.0,6.123233995736766e-17,1112.0
2017-03-06,979.0,939.0,904.0,871.0,856.0,685.0,914.0,1118.0,846.0,462.0,900.7142857142857,791.95,889.6666666666666,43.59936653108183,95.08028463524612,125.67777828564864,40.0,108.0,123.0,294.0,0.0425985090521832,0.1239954075774971,0.1436915887850467,0.4291970802919709,78.28571428571433,187.04999999999995,89.33333333333337,0.236189153355641,0.1004121393780442,0.120058443885657,0.1412638946635241,34.0,6.0,5.0,1.1419816138917265,0.86414708886619,0.4719101123595505,272.0,384.0,656.0,3,1,0,1.0,6.123233995736766e-17,1147.0
2017-03-07,1033.0,979.0,939.0,904.0,875.0,688.0,886.0,1154.0,852.0,468.0,923.2857142857144,807.9,886.95,64.13193246668514,107.28854355871864,120.6030644409868,54.0,129.0,158.0,345.0,0.0551583248212461,0.1426991150442478,0.1805714285714286,0.5014534883720929,109.71428571428557,225.1,146.04999999999995,0.2786235920287164,0.164665426461469,0.1327992864942674,0.1359750430587821,36.0,6.0,6.0,1.117134559535334,0.8247821878025169,0.4530493707647628,302.0,384.0,686.0,3,1,1,1.0,6.123233995736766e-17,1172.0
2017-03-08,1045.0,1033.0,979.0,939.0,878.0,710.0,862.0,1194.0,861.0,477.0,947.1428571428572,825.05,884.6,74.67357536069504,116.48920211989642,115.96159504524852,12.0,106.0,167.0,335.0,0.0116166505324297,0.1128860489882854,0.1902050113895217,0.471830985915493,97.85714285714278,219.95000000000005,160.39999999999998,0.2665899036422036,0.1813248926068279,0.1411904758740639,0.1310893002998513,40.0,9.0,9.0,1.1425837320574164,0.8239234449760765,0.4564593301435407,333.0,384.0,717.0,3,1,2,1.0,6.123233995736766e-17,1196.0
2017-03-09,1064.0,1045.0,1033.0,979.0,859.0,741.0,840.0,1220.0,868.0,485.0,976.4285714285714,842.9,882.9666666666667,74.54273303029208,124.52304796176507,112.63048427808108,19.0,85.0,205.0,323.0,0.018181818181818,0.08682328907048,0.238649592549476,0.4358974358974359,87.57142857142856,221.1,181.0333333333333,0.2623086961679915,0.2050285023972214,0.1477316976649247,0.1275591577010243,26.0,7.0,8.0,1.1466165413533835,0.8157894736842105,0.4558270676691729,352.0,383.0,735.0,3,1,3,1.0,6.123233995736766e-17,1205.0
2017-03-10,1086.0,1064.0,1045.0,1033.0,871.0,757.0,827.0,1220.0,872.0,491.0,1007.1428571428572,862.1,882.3666666666667,67.85629072151187,131.0857092054609,111.42497158985424,22.0,53.0,215.0,329.0,0.0206766917293232,0.0513068731848984,0.2468427095292766,0.4346103038309115,78.85714285714278,223.9,203.63333333333333,0.2597146502725901,0.2307808545200408,0.1520539487361801,0.1262796701180774,0.0,4.0,6.0,1.123388581952118,0.8029465930018416,0.4521178637200737,348.0,381.0,729.0,3,1,4,1.0,6.123233995736766e-17,1200.0
