fold,train_start,train_end,validation_start,validation_end,naive_mae,naive_rmse,linear_mae,linear_rmse
48,2010-03-26,2021-09-09,2021-09-10,2021-09-20,552.2857142857143,577.0575608822993,397.34084398497555,456.6414098909373
49,2010-03-26,2021-09-20,2021-09-21,2021-09-29,675.2857142857143,696.560837256876,503.0075377160755,557.5640735037492
50,2010-03-26,2021-09-29,2021-09-30,2021-10-08,489.7142857142857,584.204465185655,503.63555557798617,610.4296489618889
51,2010-03-26,2021-10-08,2021-10-11,2021-10-19,838.4285714285714,846.5114124620952,421.5372746707947,462.93329698052736
52,2010-03-26,2021-10-19,2021-10-20,2021-10-28,1191.0,1198.8187638552495,728.6544250294875,764.1762788250846
53,2010-03-26,2021-10-28,2021-10-29,2021-11-08,304.42857142857144,388.14191071970424,485.09298850433044,571.9305774163909
54,2010-03-26,2021-11-08,2021-11-09,2021-11-17,211.42857142857142,238.7197998850176,169.77752898613835,232.41664950457312
55,2010-03-26,2021-11-17,2021-11-18,2021-11-26,479.14285714285717,484.1564092020559,265.7545705493912,284.9541720726616
56,2010-03-26,2021-11-26,2021-11-29,2021-12-07,408.0,473.8221486712378,452.3077629606042,620.6812927419616
57,2010-03-26,2021-12-07,2021-12-08,2021-12-16,765.0,821.1329281634526,569.1608441223424,661.4431636615437
58,2010-03-26,2021-12-16,2021-12-17,2022-01-04,126.85714285714286,179.88964871355358,433.34927130928355,473.4147295685559
59,2010-03-26,2022-01-04,2022-01-05,2022-01-13,601.8571428571429,606.6207334782699,311.50941994748246,325.09282875630475
60,2010-03-26,2022-01-13,2022-01-14,2022-01-24,213.71428571428572,273.5209576718287,137.17242271782942,156.54480468108716
61,2010-03-26,2022-01-24,2022-01-25,2022-02-02,257.42857142857144,316.0809118835601,252.0679565389692,300.72233938165687
62,2010-03-26,2022-02-02,2022-02-03,2022-02-11,355.7142857142857,393.7268814074766,314.09646358690253,359.84983504351555
63,2010-03-26,2022-02-11,2022-02-14,2022-02-22,150.57142857142858,166.0903368652132,114.50048564794088,131.01665348813535
64,2010-03-26,2022-02-22,2022-02-23,2022-03-03,396.7142857142857,460.5796037913223,556.6809933822933,608.5011422659275
65,2010-03-26,2022-03-03,2022-03-04,2022-03-14,231.28571428571428,278.57673987610667,283.9853615770248,325.7155912359883
66,2010-03-26,2022-03-14,2022-03-15,2022-03-23,155.28571428571428,166.69947296171722,81.64109752253223,107.81473977382679
67,2010-03-26,2022-03-23,2022-03-24,2022-04-01,323.7142857142857,325.10262116094094,144.1537048662141,151.16088838012902
68,2010-03-26,2022-04-01,2022-04-04,2022-04-12,170.0,200.96197223781988,234.18010789780394,266.8131172165477
69,2010-03-26,2022-04-12,2022-04-13,2022-04-25,259.0,265.1104890957192,188.18008751093242,234.4165728583691
70,2010-03-26,2022-04-25,2022-04-26,2022-05-05,524.1428571428571,540.5419238399288,368.4553325177764,411.82126684599007
71,2010-03-26,2022-05-05,2022-05-06,2022-05-16,260.0,284.23481238481077,113.10146709980414,128.860872795952
72,2010-03-26,2022-05-16,2022-05-17,2022-05-25,601.1428571428571,632.7750672350213,465.24520948118254,516.2737404579697
73,2010-03-26,2022-05-25,2022-05-26,2022-06-07,284.7142857142857,316.11955243004417,128.67458707349502,156.07742424435534
74,2010-03-26,2022-06-07,2022-06-08,2022-06-16,138.28571428571428,152.82202533853368,244.6665399760062,267.0967998244397
75,2010-03-26,2022-06-16,2022-06-17,2022-06-27,263.2857142857143,278.14564530116235,377.23636837746227,404.94916771052675
76,2010-03-26,2022-06-27,2022-06-28,2022-07-06,137.42857142857142,141.84800718676715,210.9219255809744,237.3184711751382
77,2010-03-26,2022-07-06,2022-07-07,2022-07-15,91.57142857142857,96.75226095549395,129.57637365219125,178.07855179260252
78,2010-03-26,2022-07-15,2022-07-18,2022-07-26,284.14285714285717,301.60499238005235,327.9991722464747,337.83630976031867
79,2010-03-26,2022-07-26,2022-07-27,2022-08-04,307.2857142857143,317.05091974994446,246.25542846502358,275.48572186157645
80,2010-03-26,2022-08-04,2022-08-05,2022-08-15,226.42857142857142,232.29630093604897,180.34399920952842,196.37578716559744
81,2010-03-26,2022-08-15,2022-08-16,2022-08-24,246.57142857142858,259.0901663238385,219.27987712513612,238.4665834569237
82,2010-03-26,2022-08-24,2022-08-25,2022-09-05,215.28571428571428,259.6016178686104,165.9324154249848,194.47748392132917
83,2010-03-26,2022-09-05,2022-09-06,2022-09-14,441.7142857142857,453.77433031975585,277.92770745451196,307.12907416563996
84,2010-03-26,2022-09-14,2022-09-15,2022-09-26,111.85714285714286,141.4390328021229,153.93270434795772,210.0128854804147
85,2010-03-26,2022-09-26,2022-09-27,2022-10-05,138.28571428571428,146.6638527868599,190.99338844301755,208.58551098363196
86,2010-03-26,2022-10-05,2022-10-06,2022-10-14,76.14285714285714,84.22843089734351,89.69805604599553,115.23456414696227
87,2010-03-26,2022-10-14,2022-10-17,2022-10-25,356.2857142857143,374.07944152469616,219.39795352229908,239.03415278499426
88,2010-03-26,2022-10-25,2022-10-26,2022-11-03,141.14285714285714,193.26074170848636,130.39357956966654,148.83703910203948
89,2010-03-26,2022-11-03,2022-11-04,2022-11-14,137.71428571428572,155.20309275268968,108.95668512141232,130.7693162582402
90,2010-03-26,2022-11-14,2022-11-15,2022-11-23,122.57142857142857,133.56111495705412,123.67837808119586,146.12523524699276
91,2010-03-26,2022-11-23,2022-11-24,2022-12-02,38.285714285714285,43.81128360854737,45.059736478360136,60.31692524129476
92,2010-03-26,2022-12-02,2022-12-05,2022-12-13,211.57142857142858,228.02224202288437,235.37926772870904,265.0172276733823
