Fold,Train_Start,Train_End,Validation_Start,Validation_End,Naive_MAE,Naive_RMSE,Linear_MAE,Linear_RMSE,XGBoost_MAE,XGBoost_RMSE,LightGBM_MAE,LightGBM_RMSE
22,2012-07-05,2020-07-01,2020-07-02,2020-07-10,168.57142857142858,184.2226913276429,103.532025744389,113.22107295014392,203.43089076450892,214.42495851898875,155.5575766702669,165.90624559375982
23,2012-07-05,2020-07-10,2020-07-13,2020-07-21,358.7142857142857,363.5749087680753,183.85235585383424,208.10897620158866,285.57010323660717,296.0266095548017,243.8420553639476,254.42525327227497
24,2012-07-05,2020-07-21,2020-07-22,2020-10-30,123.71428571428571,136.52419984331402,141.41512486969242,152.24196427006257,159.46554129464286,178.38328634900446,154.71842617935084,177.40226409667878
25,2012-07-05,2020-10-30,2020-11-02,2020-11-11,87.71428571428571,97.52948272189288,47.510375223439624,58.84446478082767,69.65570940290179,86.93992621273702,70.65968919086787,84.84521100937835
26,2012-07-05,2020-11-11,2020-11-12,2021-02-22,124.85714285714286,163.59269980219602,238.0880201436189,297.1909661132184,372.78916713169644,416.08114840318285,335.966225856187,375.9018341163176
27,2012-07-05,2021-02-22,2021-02-23,2021-03-03,196.28571428571428,216.08463950168098,155.9739028822324,196.13575159582268,115.52263532366071,141.70358137515703,133.5575940843546,163.48121969013323
28,2012-07-05,2021-03-03,2021-03-04,2021-03-12,274.14285714285717,279.8425577764346,145.5540225147895,173.29982930172275,185.67149135044642,212.57853015806572,188.58045911114593,211.0709614519501
29,2012-07-05,2021-03-12,2021-03-15,2021-03-23,163.14285714285714,178.2846840629575,200.2217579733253,229.9791578997825,77.16026088169643,101.67465673933098,90.06201176327171,97.7373308544639
30,2012-07-05,2021-03-23,2021-03-24,2021-04-01,79.42857142857143,83.0610790752375,86.76446356750337,121.22037566789378,98.16395786830357,121.45930901548715,94.04127595569915,108.94954310105227
31,2012-07-05,2021-04-01,2021-04-06,2021-04-14,429.2857142857143,455.3577871143902,462.4571970018289,481.15557506714293,566.678466796875,625.5944984040964,547.9184295169804,594.1128580648978
32,2012-07-05,2021-04-14,2021-04-15,2021-04-23,468.14285714285717,472.5119801958162,307.48570002311163,319.9497757782103,765.6504255022321,805.722843927567,715.8122272262988,769.2652547419898
33,2012-07-05,2021-04-23,2021-04-26,2021-05-05,245.85714285714286,270.31066783028956,188.7850846274949,247.12491681591652,335.97617885044644,355.2726660205515,571.8823259925218,580.0479623648263
34,2012-07-05,2021-05-05,2021-05-06,2021-05-14,315.57142857142856,334.47549557905904,262.23956158169403,302.5447046197284,178.41451590401786,191.91198804962693,181.20124927724996,192.34471409466653
35,2012-07-05,2021-05-14,2021-05-17,2021-05-25,255.57142857142858,280.1165573726154,191.3839173262369,210.8774880608973,344.77029854910717,350.9186022311306,377.7579469946481,384.03608751077485
36,2012-07-05,2021-05-25,2021-05-26,2021-06-04,313.7142857142857,353.71659357659286,290.5966898718243,373.2129926639191,184.73420061383928,196.62290434770281,235.16352778626774,258.55944093562834
37,2012-07-05,2021-06-04,2021-06-07,2021-06-15,495.42857142857144,563.6457854260701,444.5714082859664,521.3356003141097,397.5362025669643,413.7889829757134,479.90927108984636,483.9124232839199
38,2012-07-05,2021-06-15,2021-06-16,2021-06-24,133.57142857142858,149.35336812883924,186.47982078127077,264.47120936182955,218.85341099330358,226.76966895126336,280.3330169119935,295.4263903891194
39,2012-07-05,2021-06-24,2021-06-25,2021-07-05,79.85714285714286,84.71886280094719,109.25166278258335,144.0773629206807,184.83510044642858,210.97897730164848,91.31094329895755,107.01318731344907
40,2012-07-05,2021-07-05,2021-07-06,2021-07-14,172.0,185.21107649690623,188.19328898026313,205.6752082597721,103.80440848214286,143.28630140842992,113.6449246665198,167.07699960897557
41,2012-07-05,2021-07-14,2021-07-15,2021-07-23,145.0,152.7673300900986,220.43215517352908,241.86115483950385,319.74002511160717,325.0125868810658,303.57220385839526,311.44914032645545
42,2012-07-05,2021-07-23,2021-07-26,2021-08-03,160.71428571428572,169.05578115775023,114.74808483236835,126.72908617691778,220.83680943080358,227.50266040931845,250.72549032953617,256.29534706673337
43,2012-07-05,2021-08-03,2021-08-04,2021-08-12,450.42857142857144,485.6078664931201,343.43327647430755,386.754056437328,590.7773786272321,640.6690306644449,619.1288730588547,658.7132759630443
44,2012-07-05,2021-08-12,2021-08-13,2021-08-23,363.2857142857143,422.7013467821324,324.6682660975649,359.03312211786516,391.5376674107143,405.31263378373035,654.8730461019796,661.8328746415411
45,2012-07-05,2021-08-23,2021-08-24,2021-09-02,361.85714285714283,398.22624581654946,402.18500345840647,448.8736849798628,217.35675920758928,233.28261746412835,153.56886974171155,179.92245992899478
46,2012-07-05,2021-09-02,2021-09-03,2021-09-13,493.85714285714283,511.0226441725874,549.0641797189799,619.7897990515174,302.57774135044644,320.87455572135167,325.8896281622973,346.13549087908274
47,2012-07-05,2021-09-13,2021-09-14,2021-09-22,617.4285714285714,639.2468783096023,452.5137542351583,479.37953514766025,824.5585588727679,880.3956047056305,872.2311772156424,918.4024903211447
48,2012-07-05,2021-09-22,2021-09-23,2021-10-01,546.4285714285714,602.9905234981487,370.0976273962985,460.09579114885645,744.7271205357143,765.7155913175286,995.8514891370011,1008.6944224315687
49,2012-07-05,2021-10-01,2021-10-04,2021-10-12,627.5714285714286,689.0823089961232,713.1834938876273,773.8685958634117,543.5363420758929,574.2389181651605,331.0110678913587,374.0018588053464
50,2012-07-05,2021-10-12,2021-10-13,2021-10-21,980.5714285714286,997.548853082251,672.0005375269383,740.1120665339497,1206.8231026785713,1289.8744115763564,1275.073434929686,1334.411292637853
51,2012-07-05,2021-10-21,2021-10-22,2021-11-01,1023.0,1060.5255435732931,697.9654061747468,743.5145483450018,1243.589878627232,1352.7952995349688,1843.099309309637,1870.683678094763
52,2012-07-05,2021-11-01,2021-11-02,2021-11-10,215.71428571428572,251.2756028177598,280.8805428146465,318.82668923118996,706.2032993861607,731.5669364999936,792.5095452312333,857.9172225377113
53,2012-07-05,2021-11-10,2021-11-11,2021-11-19,244.71428571428572,287.7779401850372,256.72896191357813,319.91694238080646,80.129150390625,100.07602563853149,184.74855264619697,219.9688634572034
54,2012-07-05,2021-11-19,2021-11-22,2021-11-30,475.42857142857144,484.1422459212936,289.4384629419215,321.0645540989994,352.937255859375,373.96359797981773,139.438149978582,172.5100935896494
55,2012-07-05,2021-11-30,2021-12-01,2021-12-09,572.1428571428571,676.8501627813521,667.8949986578451,790.4724842077673,599.2408272879464,736.0811703526234,652.7355539592006,766.5151583538214
56,2012-07-05,2021-12-09,2021-12-10,2021-12-20,500.57142857142856,620.9232756836502,430.59248974757884,467.95647413326816,538.7536969866071,541.5878690418876,760.3552800225515,769.6816346640366
57,2012-07-05,2021-12-20,2021-12-21,2022-01-06,259.0,339.67358280729286,310.341565369787,339.85301150182744,374.429931640625,493.2615728596678,285.25810844172304,352.4983239688805
58,2012-07-05,2022-01-06,2022-01-07,2022-01-17,568.4285714285714,579.104851103346,316.1179449445963,328.84327149794797,591.2024623325893,602.9800458764496,471.04116864223005,478.85409763550024
59,2012-07-05,2022-01-17,2022-01-18,2022-01-26,121.28571428571429,160.39371202495084,85.52365595943954,92.8535153120705,182.25889369419642,193.35754569275213,147.289919191931,161.02060668065917
60,2012-07-05,2022-01-26,2022-01-27,2022-02-04,385.2857142857143,428.619544918001,302.4718377574867,365.07394117219195,349.09361049107144,417.06417877374867,299.6739549282328,352.0521097234103
61,2012-07-05,2022-02-04,2022-02-07,2022-02-15,266.42857142857144,290.61535698287815,188.90282014361125,246.52424736910086,146.48118373325892,158.37637664572236,287.5867939795457,319.80106738427685
62,2012-07-05,2022-02-15,2022-02-16,2022-02-24,102.71428571428571,112.7962765342899,102.71592294174047,141.7813224138458,33.745762416294646,42.13858098902292,80.61392080467019,90.52274113732082
63,2012-07-05,2022-02-24,2022-02-25,2022-03-07,504.2857142857143,520.0043955858175,530.0487214989149,556.5893633875813,525.2685546875,548.5990353125853,498.7381465467946,524.4208274419709
64,2012-07-05,2022-03-07,2022-03-08,2022-03-16,127.28571428571429,141.880734622932,314.8126413944895,365.86633794765413,505.88455636160717,535.8515066300479,428.7700106539155,447.0617291487884
65,2012-07-05,2022-03-16,2022-03-17,2022-03-25,215.57142857142858,225.06792625465636,290.441539719343,311.3899793794305,744.9612862723214,855.2620449425659,630.6161782343897,728.0983614417731
66,2012-07-05,2022-03-25,2022-03-28,2022-04-05,284.2857142857143,298.9452888310597,342.55393951059926,359.00618575460567,465.315673828125,522.9392567358324,516.6628182768935,611.0683351424029
67,2012-07-05,2022-04-05,2022-04-06,2022-04-14,214.14285714285714,243.67513502319318,138.47908992661957,161.85986803111155,156.53267996651786,179.15066919061016,124.95922146639688,134.9663847879012
68,2012-07-05,2022-04-14,2022-04-19,2022-04-27,272.7142857142857,282.735868662912,118.5797187192359,138.75690440793616,71.779052734375,93.93540639355369,64.21254358576003,83.52955857660397
69,2012-07-05,2022-04-27,2022-04-28,2022-05-09,526.2857142857143,541.447794607859,230.85490233750073,284.436401382436,352.09378487723217,355.81728801228894,310.96123211023814,318.74173473172857
70,2012-07-05,2022-05-09,2022-05-10,2022-05-18,250.71428571428572,287.73524537075997,152.71881135693846,258.2744258525912,219.829833984375,240.8973765308798,221.1991884753948,239.67353280929277
71,2012-07-05,2022-05-18,2022-05-19,2022-05-27,628.5714285714286,644.4235519328217,479.4564044766557,553.042522153956,529.8948451450893,530.4102946787575,519.0258622645921,520.4927206942847
72,2012-07-05,2022-05-27,2022-05-30,2022-06-09,221.85714285714286,240.18177639922166,198.6497893272017,237.69522867774526,308.70936802455356,338.84746789697476,340.98872929421697,369.3679351577295
73,2012-07-05,2022-06-09,2022-06-10,2022-06-20,190.0,232.59959464403937,294.37304483972815,360.95976118514915,287.03543526785717,344.15307485300366,301.1999207125974,390.86348194792066
74,2012-07-05,2022-06-20,2022-06-21,2022-06-29,187.0,194.53277358841106,288.8729468627208,303.88831932175106,485.86390904017856,488.98430985552244,504.85987014552836,510.1586429677843
75,2012-07-05,2022-06-29,2022-06-30,2022-07-08,125.57142857142857,132.84201142710842,184.8400478957877,229.56568091230645,293.5250767299107,307.4314986766349,290.5866673964708,304.371914682107
76,2012-07-05,2022-07-08,2022-07-11,2022-07-19,118.42857142857143,128.47845845010085,171.07597842978348,195.57457486517586,151.54499162946428,200.8811653706723,198.42447240837944,224.4623497312627
77,2012-07-05,2022-07-19,2022-07-20,2022-07-28,351.42857142857144,361.77814827795856,307.94111288674515,313.8583658511162,534.2900739397321,546.1094192446129,488.3499009934482,501.8763688094831
78,2012-07-05,2022-07-28,2022-07-29,2022-08-08,238.57142857142858,244.8649773709118,155.45403337376757,179.16998797364963,355.48148018973217,359.4826395877192,403.3656700539355,406.7372720444247
79,2012-07-05,2022-08-08,2022-08-09,2022-08-17,259.42857142857144,263.2917990150309,188.28515418234974,209.65019380608226,461.83121163504467,463.9589691148044,478.46995590084083,481.4191460199137
80,2012-07-05,2022-08-17,2022-08-18,2022-08-26,172.85714285714286,208.92103771520954,145.77086346780354,182.05775969236072,341.59957449776783,352.8607158154719,348.6252875893011,363.7657662494086
81,2012-07-05,2022-08-26,2022-08-30,2022-09-07,337.85714285714283,357.2660073390694,238.43039502229155,259.34117671401555,227.07355608258928,256.9310519899375,174.71849097693763,206.28034424367002
82,2012-07-05,2022-09-07,2022-09-08,2022-09-16,373.57142857142856,399.19830374675405,207.25791336521345,237.77220294603424,257.2379673549107,271.7396467785254,223.73980980624455,252.2154574095407
83,2012-07-05,2022-09-16,2022-09-20,2022-09-28,98.42857142857143,120.69027656419907,190.44595273142164,232.82691293276784,91.15614536830357,99.8218136402862,108.53516637119667,114.8313977032849
84,2012-07-05,2022-09-28,2022-09-29,2022-10-07,122.28571428571429,130.7669683062202,148.5673768989302,189.93552836235415,143.12217494419642,177.07836117685238,142.49867019664936,179.1523587248064
85,2012-07-05,2022-10-07,2022-10-10,2022-10-18,99.71428571428571,124.2129507855648,82.0353395893463,115.66468012546217,199.64667619977678,207.98889534358102,171.44205550949283,177.8111320851389
86,2012-07-05,2022-10-18,2022-10-19,2022-10-27,393.14285714285717,398.9135244636361,300.26735157284435,310.9447508653244,444.3616420200893,452.9530804721585,461.35758076860697,470.8175798514681
87,2012-07-05,2022-10-27,2022-10-28,2022-11-07,57.42857142857143,77.51866134772231,74.13278136068791,78.99465502156234,64.67011369977679,81.33983932291653,94.70455764869585,115.23252125455072
88,2012-07-05,2022-11-07,2022-11-08,2022-11-16,140.85714285714286,155.99725272306196,171.10308753020067,191.2448066549368,152.28018624441964,172.51509180496436,159.14180350256018,179.59263268333717
89,2012-07-05,2022-11-16,2022-11-17,2022-11-25,123.0,134.7097408716767,106.75033858887984,120.65305496988177,128.71257672991072,132.85053544324683,117.40816960755397,121.26516578251326
90,2012-07-05,2022-11-25,2022-11-28,2022-12-06,62.42857142857143,82.84839855336459,73.17398289361667,88.30400425345128,56.0660400390625,70.08744461920558,55.24926736636462,80.64617810887952
91,2012-07-05,2022-12-06,2022-12-07,2022-12-15,229.57142857142858,242.84357104934855,251.3078679036965,278.8609295174279,220.73109654017858,230.55044714382825,226.60512601394257,235.64562074812656
92,2012-07-05,2022-12-15,2022-12-16,2023-01-03,448.0,458.5766799877327,406.343746173335,444.80953192697757,417.82174246651783,430.8619260107854,424.6747799852419,436.7701015660705
93,2012-07-05,2023-01-03,2023-01-04,2023-01-12,245.0,247.24972916350904,82.42649274038963,88.68754112130334,246.85843331473214,250.18688586129446,276.1699929138132,279.17555173740436
94,2012-07-05,2023-01-12,2023-01-13,2023-01-23,169.28571428571428,183.21065159303063,74.58245285859903,91.40167261606037,122.01022774832589,143.58422799457375,148.16900076903633,163.79167426107887
95,2012-07-05,2023-01-23,2023-01-24,2023-02-01,77.0,77.34616067671732,66.71431261331979,71.0311116917354,48.83299037388393,49.80486388046491,67.58927071000369,68.75711555006664
96,2012-07-05,2023-02-01,2023-02-02,2023-02-10,47.57142857142857,52.58870057884515,118.26061459267676,125.04916891211242,43.826102120535715,50.5075852063828,58.956139047726765,65.96714280447601
97,2012-07-05,2023-02-10,2023-02-13,2023-02-21,372.57142857142856,406.2856138235761,345.01670187351607,372.81384452371174,352.9453648158482,383.4154506762643,352.9993192613203,383.15521929181165
