Date,BDI,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,month,quarter,day_of_week,month_sin,month_cos,BDI_target_7
2022-12-19,1548.0,1560.0,1528.0,1401.0,1385.0,1327.0,1337.0,1448.7142857142858,1357.6,1533.5833333333333,92.05381448859082,103.15109000108885,257.6303548060928,-12.0,147.0,163.0,221.0,-0.0076923076923076,0.1049250535331904,0.1176895306859204,0.1665410700828937,99.28571428571422,190.4000000000001,14.416666666666742,0.1402474955804361,0.0094006411998044,0.0759804728941432,0.1679924065463844,12,4,0,-2.4492935982947064e-16,1.0,1146.0
2022-12-20,1596.0,1548.0,1560.0,1528.0,1386.0,1355.0,1356.0,1478.7142857142858,1379.95,1530.0666666666666,101.90144631898036,103.99720390974248,255.2641613904989,48.0,68.0,210.0,241.0,0.0310077519379845,0.044502617801047,0.1515151515151516,0.177859778597786,117.28571428571422,216.04999999999995,65.9333333333334,0.1565636436102757,0.0430918042786807,0.0753630232325392,0.1668320517998119,12,4,1,-2.4492935982947064e-16,1.0,1130.0
2022-12-21,1723.0,1596.0,1548.0,1560.0,1361.0,1338.0,1393.0,1530.428571428571,1406.9,1528.8,122.06672648302332,119.26392669419587,254.09292307996552,127.0,163.0,362.0,385.0,0.0795739348370927,0.1044871794871795,0.2659808963997061,0.2877428998505231,192.5714285714289,316.0999999999999,194.20000000000005,0.2246783708863458,0.1270277341705913,0.0847707205161673,0.1662041621402181,12,4,2,-2.4492935982947064e-16,1.0,1139.0
2022-12-22,1650.0,1723.0,1596.0,1548.0,1357.0,1324.0,1390.0,1572.2857142857142,1427.3,1527.0166666666669,101.12486388239932,124.35860709209948,252.8365514545152,-73.0,102.0,293.0,326.0,-0.0423679628554846,0.0658914728682169,0.2159174649963153,0.2462235649546826,77.71428571428578,222.70000000000005,122.98333333333312,0.1560288656904645,0.0805383045371692,0.0871285693912278,0.1655755022022343,12,4,3,-2.4492935982947064e-16,1.0,1096.0
2022-12-23,1515.0,1650.0,1723.0,1596.0,1401.0,1323.0,1355.0,1588.571428571429,1436.85,1522.9333333333334,74.65890690967923,123.33790769133697,250.98165688032827,-135.0,-81.0,114.0,192.0,-0.0818181818181817,-0.0507518796992481,0.0813704496788008,0.145124716553288,-73.5714285714289,78.15000000000009,-7.933333333333394,0.0543898110449943,-0.0052092453160567,0.0858390978121146,0.1648014731747909,12,4,4,-2.4492935982947064e-16,1.0,1043.0
2023-01-03,1250.0,1515.0,1650.0,1723.0,1528.0,1340.0,1325.0,1548.857142857143,1432.0,1513.9666666666667,149.08881980373914,128.8413957668512,250.96167353187704,-265.0,-473.0,-278.0,-90.0,-0.1749174917491749,-0.2745211839814278,-0.1819371727748691,-0.0671641791044775,-298.8571428571429,-182.0,-263.9666666666667,-0.1270949720670391,-0.1743543450978665,0.0899730417366279,0.1657643322388496,1,1,1,0.4999999999999999,0.8660254037844387,976.0
2023-01-04,1176.0,1250.0,1515.0,1650.0,1560.0,1373.0,1300.0,1494.0,1424.45,1502.4833333333331,204.61264216398925,139.31655548272556,250.389831091688,-74.0,-474.0,-384.0,-197.0,-0.0592,-0.2872727272727272,-0.2461538461538461,-0.1434814275309541,-318.0,-248.45000000000005,-326.4833333333331,-0.1744181964968935,-0.2172958102696645,0.0978037526643445,0.1666506546439925,1,1,2,0.4999999999999999,0.8660254037844387,946.0
2023-01-05,1146.0,1176.0,1250.0,1515.0,1548.0,1385.0,1288.0,1436.571428571429,1414.0,1488.3166666666666,240.2428334989708,152.0560838361005,246.00154964832748,-30.0,-369.0,-402.0,-239.0,-0.0255102040816326,-0.2435643564356435,-0.2596899224806202,-0.1725631768953068,-290.5714285714289,-268.0,-342.3166666666666,-0.1895332390381895,-0.2300025756167482,0.1075361271825321,0.1652884464428453,1,1,3,0.4999999999999999,0.8660254037844387,946.0
2023-01-06,1130.0,1146.0,1176.0,1250.0,1596.0,1386.0,1228.0,1370.0,1403.6,1473.95,252.93147952227733,164.15922950468277,241.2115904261909,-16.0,-120.0,-466.0,-256.0,-0.0139616055846422,-0.0959999999999999,-0.2919799498746867,-0.1847041847041847,-240.0,-273.5999999999999,-343.95000000000005,-0.1949273297235679,-0.233352556056854,0.1169558488919085,0.1636497780970798,1,1,4,0.4999999999999999,0.8660254037844387,921.0
2023-01-09,1139.0,1130.0,1146.0,1176.0,1723.0,1361.0,1189.0,1286.571428571429,1394.35,1460.25,209.71238808015184,173.80911338226457,236.3748549103708,9.0,-37.0,-584.0,-222.0,0.0079646017699115,-0.0314625850340135,-0.338943702843877,-0.1631153563556209,-147.5714285714289,-255.3499999999999,-321.25,-0.1831319252698389,-0.2199965759287793,0.1246524282872052,0.1618728675982679,1,1,0,0.4999999999999999,0.8660254037844387,874.0
