Date,BDI,BCI,Panamax,Supramax,Handysize,BDI_lag_1,BDI_lag_2,BDI_lag_3,BDI_lag_7,BDI_lag_14,BDI_lag_30,Panamax_lag_1,Supramax_lag_1,Handysize_lag_1,BDI_mean_7,BDI_mean_20,BDI_mean_60,BDI_std_7,BDI_std_20,BDI_std_60,BDI_target_7,BDI_change_1,BDI_change_3,BDI_change_7,BDI_change_14,BDI_pct_change_1,BDI_pct_change_3,BDI_pct_change_7,BDI_pct_change_14,BDI_vs_mean_7,BDI_vs_mean_20,BDI_vs_mean_60,BDI_vs_mean_20_pct,BDI_vs_mean_60_pct,BDI_volatility_ratio,BDI_long_volatility_ratio,Panamax_change_1,Supramax_change_1,Handysize_change_1,Panamax_vs_BDI,Supramax_vs_BDI,Handysize_vs_BDI,Panamax_Supramax_spread,Supramax_Handysize_spread,Panamax_Handysize_spread,month,quarter,day_of_week,month_sin,month_cos
2025-04-09,1259.0,,,,,1342.0,1401.0,1489.0,1598.0,1635.0,1112.0,,,,1457.2857142857142,1574.6,1171.3,126.65795709405148,114.60752248660712,351.8873230674833,1261.0,-83.0,-230.0,-339.0,-376.0,-0.06184798807749625,-0.15446608462055067,-0.21214017521902373,-0.2299694189602447,-198.28571428571422,-315.5999999999999,87.70000000000005,-0.20043185570938646,0.07487407154443784,0.07278516606541796,0.3004245906834144,,,,,,,,,,4,2,2,0.8660254037844387,-0.4999999999999998
2025-04-10,1269.0,,,,,1259.0,1342.0,1401.0,1587.0,1643.0,1159.0,,,,1411.857142857143,1555.55,1175.4,129.37855125100936,131.7914920183113,351.5631052160602,1300.0,10.0,-132.0,-318.0,-374.0,0.00794281175536149,-0.09421841541755893,-0.20037807183364842,-0.2276323797930615,-142.8571428571429,-286.54999999999995,93.59999999999991,-0.18421137218347206,0.07963246554364463,0.08472340459535939,0.2991008211809258,,,,,,,,,,4,2,3,0.8660254037844387,-0.4999999999999998
2025-04-11,1274.0,,,,,1269.0,1259.0,1342.0,1583.0,1652.0,1229.0,,,,1367.7142857142858,1535.8,1180.1833333333334,112.9213801511418,143.01439014821182,350.90814345245525,1353.0,5.0,-68.0,-309.0,-378.0,0.003940110323088941,-0.05067064083457529,-0.19519898926089707,-0.22881355932203384,-93.71428571428578,-261.79999999999995,93.8166666666666,-0.170464904284412,0.07949329906370474,0.09312045197826008,0.29733358669058924,,,,,,,,,,4,2,4,0.8660254037844387,-0.4999999999999998
2025-04-14,1282.0,,,,,1274.0,1269.0,1259.0,1540.0,1642.0,1276.0,,,,1330.857142857143,1517.0,1185.6,86.27751458989856,150.61662730603024,349.9116208028639,1373.0,8.0,23.0,-258.0,-360.0,0.006279434850863463,0.018268467037331204,-0.16753246753246753,-0.2192448233861145,-48.85714285714289,-235.0,96.40000000000009,-0.15491100856954515,0.08130904183535771,0.09928584529072527,0.29513463293089065,,,,,,,,,,4,2,0,0.8660254037844387,-0.4999999999999998
2025-04-15,1263.0,,,,,1282.0,1274.0,1269.0,1489.0,1634.0,1262.0,,,,1298.571428571429,1497.65,1191.1833333333334,53.1690923465226,157.3398182948084,348.40102023955177,1403.0,-19.0,-6.0,-226.0,-371.0,-0.014820592823712953,-0.004728132387706863,-0.1517797179314977,-0.22705018359853124,-35.571428571428896,-234.6500000000001,71.8166666666666,-0.1566787967816246,0.06029018762854859,0.10505780275418715,0.2924831220267396,,,,,,,,,,4,2,1,0.8660254037844387,-0.4999999999999998
2025-04-16,1241.0,,,,,1263.0,1282.0,1274.0,1401.0,1621.0,1228.0,,,,1275.7142857142858,1477.85,1196.9833333333331,31.956816099836693,163.67016736168176,346.2428603763369,1398.0,-22.0,-33.0,-160.0,-380.0,-0.017418844022169422,-0.02590266875981162,-0.11420413990007139,-0.23442319555829738,-34.71428571428578,-236.8499999999999,44.01666666666688,-0.1602666035118584,0.03677299878862158,0.11074883605351137,0.28926289174981856,,,,,,,,,,4,2,2,0.8660254037844387,-0.4999999999999998
2025-04-17,1261.0,,,,,1241.0,1263.0,1282.0,1342.0,1602.0,1286.0,,,,1264.142857142857,1459.15,1204.2666666666669,12.992671927291074,166.11735705753202,342.84358575564863,1386.0,20.0,-21.0,-81.0,-341.0,0.016116035455278066,-0.016380655226209018,-0.06035767511177348,-0.21285892634207237,-3.1428571428571104,-198.1500000000001,56.73333333333312,-0.13579823870061342,0.04711027457927351,0.11384529147622384,0.28469075433651064,,,,,,,,,,4,2,3,0.8660254037844387,-0.4999999999999998
2025-04-22,1261.0,,,,,1261.0,1241.0,1263.0,1259.0,1598.0,1400.0,,,,1264.428571428571,1440.05,1212.3166666666666,12.882250616762372,165.826629503893,338.3055730171594,1411.0,0.0,-2.0,2.0,-337.0,0.0,-0.0015835312747426444,0.001588562351072298,-0.21088861076345433,-3.4285714285711038,-179.04999999999995,48.683333333333394,-0.12433596055692508,0.04015727463946444,0.11515338321856394,0.2790570997818167,,,,,,,,,,4,2,1,0.8660254037844387,-0.4999999999999998
2025-04-23,1300.0,,,,,1261.0,1261.0,1241.0,1269.0,1587.0,1424.0,,,,1268.857142857143,1422.45,1221.3,18.721009333817545,160.74938814646617,333.2365322720231,1421.0,39.0,59.0,31.0,-287.0,0.030927835051546282,0.04754230459307007,0.024428684003152012,-0.1808443604284814,31.14285714285711,-122.45000000000005,78.70000000000005,-0.0860838693802946,0.06443953164660611,0.11300881447254116,0.2728539525685934,,,,,,,,,,4,2,2,0.8660254037844387,-0.4999999999999998
2025-04-24,1353.0,,,,,1300.0,1261.0,1261.0,1274.0,1583.0,1436.0,,,,1280.142857142857,1408.0,1231.4166666666667,37.11436636232504,152.76607504351176,327.7308368347939,1406.0,53.0,92.0,79.0,-230.0,0.04076923076923067,0.07295796986518632,0.0620094191522762,-0.14529374605180034,72.85714285714289,-55.0,121.58333333333326,-0.0390625,0.09873451986194755,0.10849863284340323,0.266141303513401,,,,,,,,,,4,2,3,0.8660254037844387,-0.4999999999999998
